CHROM,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
OTAU007785-RA,733.301519,-0.198102941,0.061712,-3.210120258,0.001326795,0.055197584
OTAU009480-RA,573.2809881,0.198186398,0.061795863,3.207114331,0.001340737,0.055623965
OTAU016189-RA,149.2657198,0.850278241,0.2654681,3.202939422,0.001360326,0.056281617
OTAU013834-RA,1357.66238,0.167519329,0.052336158,3.200833528,0.001370307,0.056539232
OTAU003302-RA,12769.10052,0.356802803,0.111504313,3.199901373,0.001374746,0.056567427
OTAU006504-RA,2032.462327,-0.463360468,0.144938291,-3.196949979,0.00138889,0.056761105
OTAU011632-RA,10.55949603,-0.757878166,0.237062793,-3.196951134,0.001388885,0.056761105
OTAU012535-RA,2850.218239,0.301501743,0.094320635,3.196561836,0.00139076,0.056761105
OTAU003784-RA,0.662835859,0.778400415,0.243631726,3.194987895,0.001398367,0.056917319
OTAU001788-RA,768.1832406,0.297953222,0.093280704,3.1941571,0.001402398,0.056927522
OTAU012037-RA,694.6052051,-0.358045662,0.112522886,-3.181980791,0.001462715,0.059216373
OTAU006817-RA,130.0610518,0.821417882,0.258318725,3.179861941,0.001473452,0.059491132
OTAU001769-RA,5159.601908,0.278819195,0.087737444,3.17788143,0.001483554,0.059720611
