CHROM,pvalue
OTAU006525-RA,0.005122315
OTAU006683-RA,0.005092349
OTAU007192-RA,0.0051151
OTAU011400-RA,0.005115945
OTAU012225-RA,0.005119099
OTAU013217-RA,0.005081248
OTAU013481-RA,0.005088556
OTAU003066-RA,0.005134758
OTAU000174-RA,0.005184951
OTAU005179-RA,0.005188052
OTAU014526-RA,0.005173191
OTAU000347-RA,0.005216711
OTAU013344-RA,0.005229008
OTAU013865-RA,0.005240814
OTAU000671-RA,0.005261708
OTAU006812-RA,0.005264898
OTAU006888-RA,0.005270663
OTAU000414-RA,0.005293954
OTAU005655-RA,0.005305251
OTAU015045-RA,0.005328537
OTAU000670-RA,0.005408979
OTAU004043-RA,0.005417509
OTAU004404-RA,0.005463888
OTAU008564-RA,0.005437566
OTAU008668-RA,0.005453102
OTAU012610-RA,0.005456353
OTAU013700-RA,0.005403395
OTAU015250-RA,0.005459485
OTAU016928-RA,0.00543402
OTAU017291-RA,0.005479768
OTAU000975-RA,0.005497964
OTAU004332-RA,0.005530474
OTAU004460-RA,0.005509679
OTAU005300-RA,0.005526924
OTAU006722-RA,0.005517307
OTAU008596-RA,0.005499439
OTAU001745-RA,0.005559243
OTAU001285-RA,0.005677532
OTAU002551-RA,0.005685545
OTAU002652-RA,0.00572156
OTAU004380-RA,0.005718386
OTAU004498-RA,0.005713367
OTAU004972-RA,0.005647734
OTAU005930-RA,0.005600535
OTAU006300-RA,0.005660592
OTAU008567-RA,0.005676581
OTAU010149-RA,0.005585895
OTAU010349-RA,0.005712718
OTAU011145-RA,0.005620816
OTAU011166-RA,0.005671689
OTAU011894-RA,0.005615073
OTAU014486-RA,0.005591684
OTAU014766-RA,0.005613101
OTAU015629-RA,0.005695762
OTAU015861-RA,0.005686058
OTAU016080-RA,0.005717474
OTAU016203-RA,0.005728281
OTAU004575-RA,0.005779401
OTAU001600-RA,0.005799418
OTAU014038-RA,0.00581478
OTAU013099-RA,0.005853616
OTAU005251-RA,0.005880989
OTAU010123-RA,0.005923294
OTAU011034-RA,0.005915895
